task_id,parameter_name,parameter_value,value_label
1,alpha_dep,0.125,alpha_dep_m50
2,alpha_dep,0.15,alpha_dep_m40
3,alpha_dep,0.175,alpha_dep_m30
4,alpha_dep,0.2,alpha_dep_m20
5,alpha_dep,0.225,alpha_dep_m10
6,alpha_dep,0.25,alpha_dep_base
7,alpha_dep,0.275,alpha_dep_p10
8,alpha_dep,0.3,alpha_dep_p20
9,alpha_dep,0.325,alpha_dep_p30
10,alpha_dep,0.35,alpha_dep_p40
11,alpha_dep,0.375,alpha_dep_p50
12,fast_fraction,0.15,fast_frac_m50
13,fast_fraction,0.18,fast_frac_m40
14,fast_fraction,0.21,fast_frac_m30
15,fast_fraction,0.24,fast_frac_m20
16,fast_fraction,0.27,fast_frac_m10
17,fast_fraction,0.3,fast_frac_base
18,fast_fraction,0.33,fast_frac_p10
19,fast_fraction,0.36,fast_frac_p20
20,fast_fraction,0.39,fast_frac_p30
21,fast_fraction,0.42,fast_frac_p40
22,fast_fraction,0.45,fast_frac_p50
23,slow_k,0.025,slow_k_m50
24,slow_k,0.03,slow_k_m40
25,slow_k,0.035,slow_k_m30
26,slow_k,0.04,slow_k_m20
27,slow_k,0.045,slow_k_m10
28,slow_k,0.05,slow_k_base
29,slow_k,0.055,slow_k_p10
30,slow_k,0.06,slow_k_p20
31,slow_k,0.065,slow_k_p30
32,slow_k,0.07,slow_k_p40
33,slow_k,0.075,slow_k_p50
34,preservation_factor,0.435,preserv_m50
35,preservation_factor,0.522,preserv_m40
36,preservation_factor,0.609,preserv_m30
37,preservation_factor,0.696,preserv_m20
38,preservation_factor,0.783,preserv_m10
39,preservation_factor,0.87,preserv_base
40,preservation_factor,0.957,preserv_p10
41,preservation_factor,1.044,preserv_p20
42,preservation_factor,1.131,preserv_p30
43,preservation_factor,1.218,preserv_p40
44,preservation_factor,1.305,preserv_p50
45,k_fast_multiplier,0.5,kfast_m50
46,k_fast_multiplier,0.6,kfast_m40
47,k_fast_multiplier,0.7,kfast_m30
48,k_fast_multiplier,0.8,kfast_m20
49,k_fast_multiplier,0.9,kfast_m10
50,k_fast_multiplier,1.0,kfast_base
51,k_fast_multiplier,1.1,kfast_p10
52,k_fast_multiplier,1.2,kfast_p20
53,k_fast_multiplier,1.3,kfast_p30
54,k_fast_multiplier,1.4,kfast_p40
55,k_fast_multiplier,1.5,kfast_p50
